Company Name,Ticker,Exchange,Month of Fiscal Yr End,Industry,Sector,Market Cap (mil),Last Close,Beta,Average Target Price,12 Mo Trailing EPS,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Long-Term Growth Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,PE1,PE2,EG1,EG2,PEG1,PEG2
Hesai Group Sponsored ADR,HSAI,NSDQ,12,Automotive - Original Equipment,Auto-Tires-Trucks,3341.8,23.87,1.14,32.91,0.42,0.37,0.76,1.97,,56.83,31.2,12.12,,31.407894736842103,12.116751269035534,105.4054054054054,159.21052631578948,0.297972334682861,0.0761052145823719
Legend Biotech,LEGN,NSDQ,12,Medical - Biomedical and Genetics,Medical,3232.07,17.5,0.12,66.72,-0.67,-1.6,0.54,1.84,,,32.34,9.52,,32.407407407407405,9.51086956521739,100.0,240.74074074074076,0.324074074074074,0.0395066889632107
Compass,COMP,NYSE,12,Internet - Software,Computer and Technology,7052.22,12.52,2.53,14.2,-0.07,-0.08,0.26,0.6,,,47.5,20.86,,48.15384615384615,20.866666666666667,100.0,130.76923076923077,0.4815384615384615,0.1595686274509804
Halozyme Therapeutics,HALO,NSDQ,12,Medical - Biomedical and Genetics,Medical,8432.88,71.71,0.94,79.5,5.63,6.48,7.71,9.22,31.0,12.74,9.3,7.77,0.3,9.300907911802852,7.7776572668112784,18.981481481481467,19.58495460440988,0.4899990509632726,0.3971240895835424
Schneider National,SNDR,NYSE,12,Transportation - Services,Transportation,4705.05,26.84,1.08,29.4,0.62,0.7,1.06,1.62,36.37,43.29,25.22,16.55,0.69,25.32075471698113,16.5679012345679,51.428571428571445,52.830188679245296,0.492348008385744,0.3136067019400351
KnightSwift Transportation,KNX,NYSE,12,Transportation - Truck,Transportation,8944.88,55.1,1.16,63.28,1.26,1.32,1.96,3.13,34.72,43.73,28.12,17.61,0.81,28.112244897959187,17.603833865814696,48.48484848484848,59.6938775510204,0.5798150510204082,0.294901832282024
Arcutis Biotherapeutics,ARQT,NSDQ,12,Medical - Biomedical and Genetics,Medical,3107.62,25.37,1.71,31.75,-0.36,-0.24,0.41,1.16,,,61.38,21.87,,61.87804878048781,21.870689655172416,100.0,182.92682926829264,0.618780487804878,0.1195597701149425
Liquidia Corporation,LQDA,NSDQ,12,Medical - Biomedical and Genetics,Medical,3687.72,42.39,0.48,43.0,-1.44,-0.97,0.65,1.55,55.07,,65.47,27.41,1.19,65.21538461538461,27.348387096774196,100.0,138.46153846153845,0.6521538461538461,0.197516129032258
Amneal Pharmaceuticals,AMRX,NSDQ,12,Medical - Drugs,Medical,4300.49,13.68,1.34,14.4,0.75,0.79,0.96,1.17,,18.24,14.3,11.64,,14.25,11.692307692307692,21.51898734177213,21.875,0.6622058823529418,0.5345054945054946
"Global Business Travel Group, Inc.",GBTG,NYSE,12,Internet - Software,Computer and Technology,3586.15,6.85,0.73,10.86,0.09,0.15,0.22,0.33,,76.11,31.14,20.76,,31.136363636363637,20.757575757575754,46.66666666666668,50.0,0.6672077922077919,0.4151515151515151
Moelis & Company,MC,NYSE,12,Financial - Investment Bank,Finance,5613.27,71.67,1.85,79.3,3.03,2.61,3.39,4.52,35.0,23.65,21.16,15.87,0.6,21.141592920353983,15.856194690265488,29.88505747126437,33.33333333333333,0.7074302246426138,0.4756858407079647
"Caris Life Sciences,?Inc.",CAI,NSDQ,12,Medical Services,Medical,6534.52,23.16,,37.38,,-1.76,0.32,0.74,38.83,,71.63,31.51,1.84,72.375,31.2972972972973,100.0,131.25,0.72375,0.2384555984555984
TFI International,TFII,NYSE,12,Transportation - Services,Transportation,8835.34,107.55,1.49,119.92,4.49,4.15,5.12,6.84,3.09,23.95,21.02,15.72,6.8,21.005859375,15.723684210526317,23.373493975903603,33.59375,0.8987042928479386,0.4680538555691554
Noble Corporation PLC,NE,NYSE,12,Oil and Gas - Drilling,Oils-Energy,5658.13,35.62,1.11,33.83,1.14,0.77,1.05,2.07,,31.25,33.92,17.25,,33.92380952380952,17.207729468599034,36.36363636363637,97.14285714285712,0.9329047619047616,0.1771383915885195
PBF Energy,PBF,NYSE,12,Oil and Gas - Refining and Marketing,Oils-Energy,3876.27,33.46,0.47,31.77,-7.46,-4.75,0.35,0.81,16.08,,95.11,41.42,5.91,95.6,41.30864197530864,100.0,131.42857142857144,0.956,0.3143048845947396
